2024-08-05 15:29:39.478 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'skypelicense' (class org.asteriskjava.manager.event.SkypeLicenseEvent)
2024-08-05 15:29:39.478 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'asyncagi' (class org.asteriskjava.manager.event.AsyncAgiEvent)
2024-08-05 15:29:39.478 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'voicemailuserentrycomplete' (class org.asteriskjava.manager.event.VoicemailUserEntryCompleteEvent)
2024-08-05 15:29:39.478 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'skypebuddyentry' (class org.asteriskjava.manager.event.SkypeBuddyEntryEvent)
2024-08-05 15:29:39.478 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'voicemailuserentry' (class org.asteriskjava.manager.event.VoicemailUserEntryEvent)
2024-08-05 15:29:39.479 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'dahdishowchannels' (class org.asteriskjava.manager.event.DahdiShowChannelsEvent)
2024-08-05 15:29:39.479 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'peerlistcomplete' (class org.asteriskjava.manager.event.PeerlistCompleteEvent)
2024-08-05 15:29:39.479 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'confbridgelistroomscomplete' (class org.asteriskjava.manager.event.ConfbridgeListRoomsCompleteEvent)
2024-08-05 15:29:39.479 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'listdialplan' (class org.asteriskjava.manager.event.ListDialplanEvent)
2024-08-05 15:29:39.479 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'endpointdetailcomplete' (class org.asteriskjava.manager.event.EndpointDetailComplete)
2024-08-05 15:29:39.479 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'queueparams' (class org.asteriskjava.manager.event.QueueParamsEvent)
2024-08-05 15:29:39.480 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'zapshowchannelscomplete' (class org.asteriskjava.manager.event.ZapShowChannelsCompleteEvent)
2024-08-05 15:29:39.480 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'status' (class org.asteriskjava.manager.event.StatusEvent)
